WindTurbine,14628.65
├── Alternator,7096.71
│   ├── Stator,1845.24
│   │   ├── Coils,534.45
│   │   └── ResinCast,1310.79
│   ├── Rotor_Back,1458.03
│   │   ├── Rotor_Disk_Back,671.03
│   │   └── MagnetResin_Assembly,787.0
│   │   │   ├── Rotor_ResinCast,622.23
│   │   │   └── Rotor_Magnets,164.77
│   ├── Rotor_Front,1454.73
│   │   ├── Rotor_Disk,667.73
│   │   │   ├── BaseFeature,671.03
│   │   │   ├── Binder,671.03
│   │   └── MagnetResin_Assembly,787.0
│   ├── Hub,397.74
│   │   ├── Flange,276.58
│   │   │   ├── DatumPlane,
│   │   ├── Flange_Cover_Front,24.63
│   │   ├── Flange_Cover_Back,23.0
│   │   └── StubAxleShaft,73.52
│   │   │   ├── DatumPlane001,
│   │   │   ├── DatumPlane002,
│   ├── Frame,479.79
│   │   ├── Channel,222.51
│   │   ├── Bracket_End_OneHole,46.93
│   │   ├── Bracket_End_TwoHole,181.45
│   │   └── Plate_Bottom,28.91
│   ├── Blade_Assembly_BackDisk,582.91
│   └── Blade_Assembly_FrontTriangle,666.07
│   │   ├── DatumLine,
│   │   ├── OuterScrewHoleMultiTransform,667.72
│   │   ├── InnerHoleScrewHoleMultiTransform,666.07
├── YawBearing,321.41
│   ├── Pipe,248.82
│   ├── Plate_Top,61.59
│   ├── ArcWireSupport,2.63
│   └── SafetyCatchPart,8.37
│   │   └── SafetyCatch,8.37
└── Tail_Assembly,7210.53
│   ├── Hinge_Inner,291.29
│   │   ├── Pipe,164.06
│   │   ├── Junction,127.22
│   │   │   ├── Top_Cover,19.3
│   │   │   ├── Cover_Side_Front,53.96
│   │   │   └── Cover_Side_Back,
│   │   └── Tail_Hinge_Inner_Pipe_Cover,7.36
│   └── Tail,6919.24
│   │   ├── Hinge_Outer,217.06
│   │   │   ├── Pipe,123.23
│   │   │   ├── Outer_Pipe_Cover,28.56
│   │   │   ├── Stop_LowEnd,67.88
│   │   │   ├── YawBearing_Cylinder,818.02
│   │   │   └── Tail_Stop_LowEnd,65.28
│   │   └── Assembly_BoomVane,6702.18
│   │   │   ├── Boom_Pipe,453.39
│   │   │   ├── Boom_Support,111.2
│   │   │   ├── Vane_Bracket_Top,46.29
│   │   │   │   ├── Tail_Vane_Bracket_Body,24.97
│   │   │   │   ├── Assembly_BoltNut_First,10.66
│   │   │   │   │   ├── Bolt,6.8
│   │   │   │   │   │   ├── DatumPlane,
│   │   │   │   └── Assembly_BoltNut_Second,10.66
│   │   │   ├── Vane_Bracket_Bottom,46.29
│   │   │   ├── Vane,6007.53
│   │   │   │   ├── DatumPlane,
│   │   │   ├── Stop_HighEnd_Link,39.78
│   │   │   ├── Hinge_Outer_Cylinder,405.12
│   │   │   └── Tail_Stop_HighEnd,37.48
