Component,1800,2400,3000,3600,4200
WindTurbine,8237.2,14628.65,21097.72,30430.52,38745.66
WindTurbine/Alternator,4573.68,7096.71,10160.92,13578.21,14186.1
WindTurbine/Alternator/Blade_Assembly_BackDisk,274.94,582.91,1154.83,1999.62,2737.18
WindTurbine/Alternator/Blade_Assembly_FrontTriangle,290.54,666.07,1294.4,2228.19,349.04
WindTurbine/Alternator/Blade_Assembly_FrontTriangle/InnerHoleScrewHoleMultiTransform,290.54,666.07,1294.4,2228.19,349.04
WindTurbine/Alternator/Blade_Assembly_FrontTriangle/OuterScrewHoleMultiTransform,290.54,667.72,1295.91,2229.32,349.04
WindTurbine/Alternator/Frame,420.64,479.79,568.68,682.04,756.92
WindTurbine/Alternator/Frame/Bracket_End_OneHole,46.93,46.93,46.93,0.0,0.0
WindTurbine/Alternator/Frame/Bracket_End_TwoHole,164.89,181.45,210.21,0.0,0.0
WindTurbine/Alternator/Frame/Bracket_End_TwoHole_Bottom,0.0,0.0,0.0,195.68,214.2
WindTurbine/Alternator/Frame/Bracket_End_TwoHole_Top,0.0,0.0,0.0,0.0,0.0
WindTurbine/Alternator/Frame/Channel,193.84,222.51,272.32,290.67,328.52
WindTurbine/Alternator/Frame/Plate_Bottom,14.97,28.91,39.22,0.0,0.0
WindTurbine/Alternator/Hub,397.74,397.74,397.74,551.04,559.74
WindTurbine/Alternator/Hub/Flange,276.58,276.58,276.58,357.61,362.53
WindTurbine/Alternator/Hub/Flange_Cover_Back,23.0,23.0,23.0,40.84,40.84
WindTurbine/Alternator/Hub/Flange_Cover_Front,24.63,24.63,24.63,30.19,30.19
WindTurbine/Alternator/Hub/StubAxleShaft,73.52,73.52,73.52,122.4,126.18
WindTurbine/Alternator/Rotor_Back,975.84,1458.03,1938.7,2350.89,2749.41
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly,521.12,787.0,1001.37,1102.86,1212.44
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly/Rotor_Magnets,109.85,164.77,164.77,219.7,219.7
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly/Rotor_ResinCast,411.27,622.23,836.59,883.17,992.74
WindTurbine/Alternator/Rotor_Back/Rotor_Disk_Back,454.72,671.03,937.33,1248.02,1536.97
WindTurbine/Alternator/Rotor_Front,451.42,1454.73,1935.4,2348.41,2746.93
WindTurbine/Alternator/Rotor_Front/BaseFeature,454.72,0.0,0.0,0.0,0.0
WindTurbine/Alternator/Rotor_Front/Binder,454.72,0.0,0.0,0.0,0.0
WindTurbine/Alternator/Rotor_Front/MagnetResin_Assembly,0.0,787.0,1001.37,1102.86,1212.44
WindTurbine/Alternator/Rotor_Front/Rotor_Disk,0.0,667.73,934.03,1245.55,1534.49
WindTurbine/Alternator/Rotor_Front/Rotor_Disk/BaseFeature,0.0,671.03,937.33,1248.02,1536.97
WindTurbine/Alternator/Rotor_Front/Rotor_Disk/Binder,0.0,671.03,937.33,1248.02,1536.97
WindTurbine/Alternator/Stator,1566.44,1845.24,2653.99,3129.53,3868.9
WindTurbine/Alternator/Stator/Coils,466.97,534.45,863.28,944.53,1234.96
WindTurbine/Alternator/Stator/ResinCast,1099.48,1310.79,1790.71,2185.0,2633.93
WindTurbine/Alternator/Studs_Frame,61.94,61.94,61.94,82.58,122.29
WindTurbine/Alternator/Studs_Hub,134.18,150.25,155.23,205.91,295.69
WindTurbine/Tail_Assembly,3402.82,7210.53,10558.56,16032.7,23546.88
WindTurbine/Tail_Assembly/Hinge_Inner,240.53,291.29,345.45,412.27,459.6
