Vw;Pdc
2,05837;0,00373043280953541
2,52529;0,0135202493578249
3,0153;0,131732417561483
3,49394;4,41675184115131
3,99557;25,4780043847807
4,49352;53,1821006266787
4,999;87,3941539068677
5,50892;127,988187989046
5,99732;166,445004279727
6,49769;211,086170326216
6,99305;257,835275973817
7,49721;308,802683770529
8,00046;354,68942997327
8,48937;397,046679988793
9,00562;436,300192117851
9,51289;463,6183951515
10,00665;490,981637523885
10,4952;505,104299562314
10,99153;499,904798622734
11,4996;484,23474491528
11,98625;455,545105489921
12,4818;432,102647726226
13,00167;410,233382411339
13,4905;379,564776031088
13,99459;388,39781615316
14,4832;375,67234913994
14,9874;340,719526473725
15,48953;308,356348002585
16,00835;277,547668073489
16,50613;285,078317802346
17,01427;280,868932632211
17,49884;266,067479380826
18,00251;265,957816900064
18,51041;265,524885989329
18,99896;274,802953538861
19,49458;266,202578738084
19,99601;269,733510447649
20,48778;275,26848236973
20,99957;280,923796737384
21,49276;293,488096375931
21,98126;299,45377844009
22,51095;309,087762765796
22,98887;319,600094728621
23,50726;318,300663718626
23,99147;323,326479199854
24,49158;324,616503636232
25,01278;334,267820368837
