,0
wood,"0,005153164889684002"
steel,"0,014975112245429552"
resin,"0,00113802732695648"
magnet,"0,018568317156614243"
copper,"0,06732965321981998"
other,"0,006300405609318691"
transport,"0,00036801339430174944"
12m steel no zinc,"0,08102112095614691"
12m concrete,"0,046577991213292286"
12m zinc,"0,12211165944310438"
12m cable,"0,05412468208886989"
12m transport concrete,"0,003968473417058966"
12m transport steel,"0,0010242849739031635"
electronics rectifier,"0,009986220945258167"
electronics charge controller,"0,005243435544013208"
electronics dump load,"0,004453185292783799"
electronics electricity,"0,43946303138414755"
electronics inverter,"0,029187938891118727"
electronics cables,"0,1619508385445998"
electronics transport,"0,0008315307247579108"
