,Category_number,Raw score,Normalized_Weighted,Score_ratio,Cumulative
0,material resources: metals/minerals,"0,2987588660612802","0,3546587167865826","0,3302908219909869","0,3302908219909869"
1,climate change,"5911,236261259827","0,15369214279275553","0,14313226144987795","0,47342308344086487"
2,energy resources: non-renewable,"102889,4711676984","0,13169852309465394","0,12264977960236578","0,5960728630432306"
3,eutrophication: freshwater,"5,244397263308627","0,09120690892710655","0,0849402636814897","0,6810131267247203"
4,ecotoxicity: freshwater,"204620,69828596886","0,09200743342132557","0,08568578573044762","0,7666989124551679"
5,acidification,"50,7434466415303","0,05658441891681436","0,05269661607432967","0,8193955285294975"
6,particulate matter formation,"0,0003321515057533394","0,050018109101679344","0,04658146434215468","0,8659769928716522"
7,ionising radiation: human health,"2363,31490031819","0,028057364100933964","0,026129598436951423","0,8921065913086036"
8,water use,"3092,688314317937","0,022885893525952734","0,021313449315934322","0,913420040624538"
9,photochemical ozone formation: human health,"18,23066332852433","0,021463687367080368","0,019988960112593337","0,9334090007371313"
10,eutrophication: terrestrial,"116,91961636881533","0,024506880041147167","0,02282306107281115","0,9562320618099425"
11,human toxicity: non-carcinogenic,"0,00020929251957728292","0,016743401566182634","0,015592995757517094","0,9718250575674595"
12,eutrophication: marine,"8,520441387769642","0,012933593080922123","0,012044951633221272","0,9838700092006808"
13,human toxicity: carcinogenic,"1,0322394017674511e-05","0,01300988121754243","0,012115998163758527","0,9959860073644393"
14,land use,"40291,30241935483","0,003906140918311079","0,0036377577475360783","0,9996237651119754"
15,ozone depletion,"0,0003431694573269879","0,00040399240218904736","0,0003762348880245594","0,9999999999999999"
