,Category_number,Raw score,Normalized_Weighted,Score_ratio,Cumulative
0,material resources: metals/minerals,"0,6815294756640661","0,8090483555446066","0,6239911906129058","0,6239911906129058"
1,ecotoxicity: freshwater,"256429,45210699097","0,11530317284436127","0,0889293743835214","0,7129205649964272"
2,climate change,"3049,210159628064","0,07927946415032966","0,06114552595934408","0,7740660909557713"
3,energy resources: non-renewable,"35439,812149751924","0,045362959551682465","0,03498689163186709","0,8090529825876384"
4,particulate matter formation,"0,00033228801877431324","0,05003866635660246","0,038593103592084135","0,8476460861797225"
5,acidification,"41,41516826382533","0,04618238187692752","0,03561888390876909","0,8832649700884916"
6,human toxicity: non-carcinogenic,"0,000440550566895254","0,03524404535162032","0,02718252088426659","0,9104474909727581"
7,eutrophication: freshwater,"2,140743443533562","0,03723032075710542","0,02871446683862116","0,9391619578113792"
8,eutrophication: terrestrial,"98,07895981226584","0,020557793271384538","0,01585551940359634","0,9550174772149755"
9,human toxicity: carcinogenic,"1,2400311752762065e-05","0,015628795286025562","0,012053952661219856","0,9670714298761954"
10,photochemical ozone formation: human health,"13,286259765574787","0,015642443763410712","0,012064479262745275","0,9791359091389407"
11,water use,"1494,6035174440892","0,01106006602908626","0,008530248807070696","0,9876661579460113"
12,eutrophication: marine,"6,068024616455782","0,009210950187030316","0,0071040893099798465","0,9947702472559912"
13,ionising radiation: human health,"279,37944728579805","0,0033168033907626736","0,002558136460753011","0,9973283837167441"
14,land use,"32839,51804396965","0,0031837090753250186","0,0024554853895474493","0,9997838691062916"
15,ozone depletion,"0,00023803910066173958","0,00028022886663723446","0,00021613089370828373","0,9999999999999999"
