,0
wood,"0,0051531648896839975"
steel,"0,014975112245430258"
resin,"0,0011380273269564747"
magnet,"0,018568317156614278"
copper,"0,06732965321982007"
other,"0,006300405609318692"
transport,"0,0003680133943017228"
12m steel no zinc,"0,042197974566145005"
12m concrete,"0,046577991213292286"
12m zinc,"0,04694847191943702"
12m cable,"0,028351352269437975"
12m transport concrete,"0,003968473417058966"
12m transport steel,"0,0005365302293196333"
electronics rectifier,"0,009986220945258136"
electronics charge controller,"0,005243435544013211"
electronics dump load,"0,004453185292783805"
electronics batteries,"0,6622561004258657"
electronics inverter,"0,029187938891118724"
electronics cables,"0,1619508385445998"
electronics transport,"0,0008315307247579109"
