,0
wood,"0,0051531648896839975"
steel,"0,014975112245430258"
resin,"0,0011380273269564747"
magnet,"0,018568317156614278"
copper,"0,06732965321982007"
other,"0,006300405609318692"
transport,"0,0003680133943017228"
18m steel no zinc,"0,07578812725347656"
18m concrete,"0,04657799121329233"
18m zinc,"0,08748682014159415"
18m cable,"0,04262879731104165"
18m transport concrete,"0,003968473417058934"
18m transport steel,"0,0011439422513283197"
electronics rectifier,"0,009986220945258136"
electronics charge controller,"0,005243435544013211"
electronics dump load,"0,004453185292783805"
electronics batteries,"0,6527796714659847"
electronics inverter,"0,029187938891118724"
electronics cables,"0,1619508385445998"
electronics transport,"0,0008315307247579109"
