,0
wood,"0,005153164889684002"
steel,"0,014975112245429552"
resin,"0,00113802732695648"
magnet,"0,018568317156614243"
copper,"0,06732965321981998"
other,"0,006300405609318691"
transport,"0,00036801339430174944"
18m steel no zinc,"0,07578812725347653"
18m concrete,"0,046577991213292286"
18m zinc,"0,08748682014159412"
18m cable,"0,0426287973110417"
18m transport concrete,"0,003968473417058966"
18m transport steel,"0,0011439422513283284"
electronics rectifier,"0,009986220945258167"
electronics charge controller,"0,005243435544013208"
electronics dump load,"0,004453185292783799"
electronics electricity,"0,6066870977466036"
electronics inverter,"0,029187938891118727"
electronics cables,"0,1619508385445998"
electronics transport,"0,0008315307247579108"
