,11,2,1,3,13
wood,0.00022347477676935742,955.4019966681743,23.647300802134524,503.07831656595783,4.544211797976934e-06
steel,0.0026697265013630104,3885.6686821545372,109.01487814115539,1192.2747698751446,7.905062805585705e-06
resin,0.00011525203268036591,317.3170401500537,9.791659424195183,222.46471535713042,4.2073751627988106e-07
magnet,0.00254046544071428,10699.940429125301,84.27490430551653,920.3067736463885,7.821993417195844e-06
copper,0.04200460873273374,15894.202582955368,38.2584974779552,556.1690761015391,4.572323143529881e-06
other,0.0036747478645798902,1357.4885021214748,7.095495687851985,113.25414885215575,7.873071274031392e-07
transport,1.0819072174219644e-05,40.504872671741424,3.325970782793864,48.47641842701916,3.0782009014553945e-07
12m steel no zinc,0.0019524830901489437,11329.267858818843,411.42467683649716,4138.454523493719,2.7407914808494443e-05
12m concrete,0.00570064508882669,9707.523208864972,556.2450563364047,4115.119432297806,2.6207149952018825e-05
12m zinc,0.016911884849403296,9429.62077316728,53.36702004909864,872.410727719458,4.8094257535609175e-05
12m cable,0.018059360019618175,6653.8603813413965,9.69994598271347,125.15470550938349,1.667056747103718e-06
12m transport concrete,0.0001369557369875508,507.9276880424525,39.92626895672986,602.9550528481287,4.417026906965039e-06
12m transport steel,1.77654785531168e-05,63.61004608539123,4.9469271892800695,72.90161355618237,4.750348263931165e-07
electronics rectifier,0.003681529934338237,2130.9220790698264,54.63050235428475,696.4028004965995,3.0337467018788235e-06
electronics charge controller,0.002897905082567913,1088.2001575335512,13.131843115664457,162.38619542269072,8.806052322274386e-07
electronics dump load,0.001352844899149254,923.5302343702217,30.254708522526784,383.2385777937218,1.4800323641843225e-06
electronics batteries,0.4177639864881531,106082.46923495409,936.9565648247695,13088.43141638524,6.827532037204795e-05
electronics inverter,0.014854149490218814,6904.507007746216,90.72599317549862,1150.3138388042012,5.209470186843684e-06
electronics cables,0.10341721963580089,37281.41412087894,69.64873077934739,996.1944166110565,9.782957751284553e-06
electronics transport,4.832387742905628e-05,108.13366315771961,7.741271020420673,110.44009296125884,7.728976272371894e-07
