,Category_number,Raw score,Normalized_Weighted,Score_ratio,Cumulative
0,material resources: metals/minerals,"0,2552635384894232","0,3030251125149599","0,32460148043268916","0,32460148043268916"
1,climate change,"5416,134317396599","0,14081949225231155","0,15084629547534048","0,47544777590802967"
2,energy resources: non-renewable,"97520,08663067126","0,1248257108872592","0,1337137051572478","0,6091614810652775"
3,eutrophication: freshwater,"4,9235886391944215","0,08562762850772906","0,09172459255559884","0,7008860736208763"
4,ecotoxicity: freshwater,"173552,756738855","0,07803777352192075","0,08359431535112728","0,7844803889720036"
5,acidification,"40,00120967857388","0,044605665468913314","0,04778173309375385","0,8322621220657574"
6,particulate matter formation,"0,00022392641388943097","0,033720683503349606","0,03612170521296008","0,8683838272787175"
7,ionising radiation: human health,"2324,3885469293464","0,027595228957620913","0,029560098495402906","0,8979439257741204"
8,water use,"2767,7982258562547","0,020481706871336283","0,02194007063324139","0,9198839964073618"
9,photochemical ozone formation: human health,"16,006294442247352","0,01884484912166068","0,02018666331860442","0,9400706597259663"
10,eutrophication: terrestrial,"75,66200403570829","0,015859098021043943","0,01698831708445897","0,9570589768104252"
11,human toxicity: non-carcinogenic,"0,00018213499303984984","0,014570799443187987","0,015608287481827517","0,9726672642922527"
12,eutrophication: marine,"7,773167016666898","0,01179926890735078","0,012639415009409087","0,9853066793016618"
13,human toxicity: carcinogenic,"7,621102953067787e-06","0,009605295437890168","0,01028922353416692","0,9955959028358288"
14,land use,"38618,88975845163","0,0037440046969732105","0,0040105899385630885","0,9996064927743918"
15,ozone depletion,"0,0003120443092115321","0,0003673506699859641","0,00039350722560823194","1,0"
