,Category_number,Raw score,Normalized_Weighted,Score_ratio,Cumulative
0,material resources: metals/minerals,"0,518553655363434","0,6155786317600512","0,636640280763883","0,636640280763883"
1,ecotoxicity: freshwater,"195021,92623949252","0,08769135793438539","0,09069166448531733","0,7273319452492003"
2,climate change,"2286,138654836926","0,059439605025760074","0,061473295010091654","0,788805240259292"
3,energy resources: non-renewable,"26327,136459692712","0,03369873466840667","0,03485171640760371","0,8236569566668958"
4,particulate matter formation,"0,00020453618649450144","0,03080074337799551","0,031854572105333955","0,8555115287722297"
5,acidification,"27,21180550816912","0,030344099667382832","0,03138230460751276","0,8868938333797425"
6,eutrophication: freshwater,"1,6217523673509873","0,028204388997408476","0,029169385036553808","0,9160632184162962"
7,human toxicity: non-carcinogenic,"0,00033138770394547937","0,02651101631563835","0,027418074636974755","0,943481293053271"
8,photochemical ozone formation: human health,"10,0007010365983","0,0117742243731379","0,012177072308795379","0,9556583653620664"
9,eutrophication: terrestrial,"53,204263033232245","0,011151854003010825","0,011533407914461318","0,9671917732765277"
10,human toxicity: carcinogenic,"8,627231566119689e-06","0,010873374695760317","0,011245400606852236","0,9784371738833799"
11,water use,"1034,7288606120694","0,007656993568529313","0,007918972952875167","0,986356146836255"
12,eutrophication: marine,"4,995540820704906","0,007582974784249499","0,00784242166084775","0,9941985684971028"
13,land use,"29155,91214660589","0,0028265927038345637","0,002923302856418549","0,9971218713535213"
14,ionising radiation: human health,"216,29095607807804","0,002567814431163912","0,0026556706423217246","0,999777541995843"
15,ozone depletion,"0,00018271444775799537","0,0002150985383121177","0,00022245800415682067","0,9999999999999998"
