,Category_number,Raw score,Normalized_Weighted,Score_ratio,Cumulative
0,material resources: metals/minerals,"0,8219628905331023","0,9757578338875663","0,6516620437639454","0,6516620437639454"
1,ecotoxicity: freshwater,"286140,3237305616","0,12866262800062722","0,08592762282510163","0,7375896665890471"
2,climate change,"3296,9601072939427","0,0857209627896425","0,05724893602170993","0,794838602610757"
3,energy resources: non-renewable,"39266,62923598654","0,05026128542206277","0,03356711147257722","0,8284057140833342"
4,particulate matter formation,"0,0003154490289745891","0,04750291259852635","0,03172492603555433","0,8601306401188885"
5,acidification,"41,436505016238996","0,046206174658396","0,030858896712556386","0,8909895368314449"
6,human toxicity: non-carcinogenic,"0,0005405307825142795","0,04324246260114236","0,028879575010712588","0,9198691118421575"
7,eutrophication: freshwater,"2,3135910060171443","0,04023636532203729","0,026871946244003072","0,9467410580861605"
8,eutrophication: terrestrial,"84,39515906416891","0,017689606786896423","0,011814043312572348","0,9585551013987328"
9,human toxicity: carcinogenic,"1,3318775394656223e-05","0,01678638555657855","0,011210825001144729","0,9697659263998775"
10,photochemical ozone formation: human health,"14,184844439375038","0,016700383354732187","0,011153388238992267","0,9809193146388697"
11,water use,"1584,1697503846235","0,011722856152846212","0,00782913560517185","0,9887484502440416"
12,eutrophication: marine,"6,275709061617285","0,00952620452430111","0,006362096919976887","0,9951105471640185"
13,ionising radiation: human health,"303,0213387304861","0,0035974808223690406","0,0024025855839316167","0,9975131327479501"
14,land use,"35214,567919353365","0,003413964215868934","0,002280023609327718","0,9997931563572777"
15,ozone depletion,"0,0002630856914354721","0,0003097146852533263","0,00020684364272205875","0,9999999999999998"
